l (nm),chl a70,chl a90,chl b70,chl b90
470.4,546,491,86900,71924
470.8,531,475,84287,69240
471.2,520,478,81650,66612
471.6,511,464,79040,64035
472,503,467,76434,61499
472.4,493,461,73881,59037
472.8,486,464,71310,56595
473.2,489,451,68785,54239
473.6,479,451,66304,51973
474,464,452,63851,49734
474.4,464,451,61457,47555
474.8,460,448,59121,45449
475.2,474,444,56775,43410
475.6,441,426,54517,41434
476,463,441,52317,39540
476.4,460,438,50154,37708
476.8,448,440,48054,35934
477.2,448,441,46017,34227
477.6,466,459,44048,32613
478,446,453,42119,31041
478.4,464,467,40268,29543
478.8,474,468,38503,28091
479.2,452,474,36727,26729
479.6,477,490,35054,25424
480,479,498,33434,24186
480.4,505,503,31909,22962
480.8,493,508,30389,21809
481.2,506,533,28979,20747
481.6,516,537,27582,19706
482,520,553,26276,18738
482.4,514,558,24998,17803
482.8,530,578,23817,16929
483.2,547,591,22661,16092
483.6,551,610,21563,15296
484,561,617,20498,14526
484.4,568,631,19516,13838
484.8,613,664,18570,13155
485.2,611,664,17648,12483
485.6,613,670,16791,11860
486,652,687,15978,11296
486.4,667,710,15213,10744
486.8,652,700,14471,10216
487.2,701,721,13779,9738
487.6,703,718,13120,9284
488,691,743,12476,8839
488.4,715,781,11900,8482
488.8,751,823,11323,8166
489.2,752,837,10785,7814
489.6,776,858,10312,7470
490,785,876,9840,7163
490.4,803,877,9386,6858
490.8,814,900,8957,6585
491.2,835,908,8552,6314
491.6,834,920,8187,6058
492,863,939,7836,5848
492.4,887,950,7515,5615
492.8,886,963,7194,5395
493.2,904,974,6914,5246
493.6,894,977,6637,5044
494,915,999,6381,4882
494.4,914,1009,6134,4732
494.8,927,997,5907,4591
495.2,926,1011,5680,4449
495.6,948,1023,5487,4312
496,947,1020,5286,4184
496.4,958,1035,5124,4094
496.8,953,1039,4956,3968
497.2,970,1042,4791,3886
497.6,976,1036,4635,3779
498,960,1041,4483,3694
498.4,972,1056,4367,3621
498.8,970,1057,4244,3538
499.2,975,1043,4117,3466
499.6,960,1055,4016,3403
500,999,1059,3928,3344
500.4,973,1051,3840,3272
500.8,981,1071,3741,3253
501.2,977,1054,3647,3188
501.6,959,1051,3569,3125
502,987,1071,3522,3107
502.4,1003,1067,3473,3082
502.8,996,1068,3387,3043
503.2,992,1065,3337,2982
503.6,985,1068,3263,2973
504,1004,1068,3228,2939
504.4,1018,1078,3180,2927
504.8,1000,1078,3125,2901
505.2,1010,1075,3094,2888
505.6,1004,1072,3056,2839
506,1007,1088,3017,2863
506.4,1004,1091,2988,2818
506.8,1019,1078,2955,2802
507.2,1029,1084,2939,2800
507.6,1025,1089,2901,2776
508,1022,1082,2881,2762
508.4,1012,1098,2832,2740
508.8,1044,1110,2831,2750
509.2,1023,1100,2799,2729
509.6,1050,1120,2786,2713
510,1045,1115,2768,2712
510.4,1055,1125,2761,2715
510.8,1077,1142,2748,2689
511.2,1089,1151,2737,2698
511.6,1079,1166,2709,2693
512,1109,1180,2708,2685
512.4,1130,1200,2693,2714
512.8,1131,1219,2700,2704
513.2,1160,1231,2687,2686
513.6,1157,1237,2694,2699
514,1185,1280,2692,2713
514.4,1199,1298,2687,2710
514.8,1212,1320,2673,2705
515.2,1236,1350,2688,2723
515.6,1250,1368,2686,2733
516,1278,1410,2687,2748
516.4,1314,1433,2685,2749
516.8,1345,1485,2699,2789
517.2,1371,1508,2706,2767
517.6,1400,1547,2736,2796
518,1421,1590,2725,2832
518.4,1475,1637,2758,2832
518.8,1498,1663,2760,2832
519.2,1514,1692,2749,2860
519.6,1540,1735,2781,2915
520,1603,1775,2805,2925
520.4,1605,1817,2814,2939
520.8,1652,1849,2831,2960
521.2,1699,1907,2865,3018
521.6,1739,1956,2903,3034
522,1767,1978,2918,3068
522.4,1788,2020,2924,3088
522.8,1831,2059,2951,3108
523.2,1859,2085,2985,3132
523.6,1893,2141,3017,3164
524,1940,2175,3051,3214
524.4,1964,2202,3080,3248
524.8,2031,2263,3121,3282
525.2,2064,2291,3185,3319
525.6,2087,2342,3200,3385
526,2121,2357,3241,3409
526.4,2160,2393,3267,3439
526.8,2164,2425,3326,3478
527.2,2200,2459,3337,3545
527.6,2227,2478,3382,3571
528,2253,2520,3418,3644
528.4,2281,2526,3465,3671
528.8,2283,2550,3498,3727
529.2,2331,2577,3546,3761
529.6,2365,2613,3619,3842
530,2383,2632,3668,3894
530.4,2374,2646,3712,3937
530.8,2396,2661,3738,3976
531.2,2448,2681,3810,4067
531.6,2469,2700,3871,4110
532,2474,2721,3913,4178
532.4,2474,2730,3974,4212
532.8,2516,2741,4036,4271
533.2,2517,2754,4101,4346
533.6,2530,2760,4138,4391
534,2552,2768,4196,4453
534.4,2557,2774,4252,4495
534.8,2597,2790,4313,4560
535.2,2588,2779,4359,4607
535.6,2593,2796,4412,4667
536,2596,2787,4454,4715
536.4,2622,2790,4509,4774
536.8,2621,2788,4573,4816
537.2,2602,2777,4617,4855
537.6,2638,2794,4682,4928
538,2635,2780,4729,4949
538.4,2645,2782,4784,5002
538.8,2628,2772,4825,5041
539.2,2658,2778,4860,5080
539.6,2641,2757,4897,5133
540,2656,2765,4969,5162
540.4,2652,2749,5009,5180
540.8,2644,2760,5026,5279
541.2,2652,2751,5061,5313
541.6,2638,2726,5110,5361
542,2634,2715,5129,5357
542.4,2648,2725,5164,5427
542.8,2641,2702,5204,5451
543.2,2652,2712,5240,5479
543.6,2653,2688,5273,5486
544,2621,2676,5280,5511
544.4,2650,2693,5341,5567
544.8,2654,2684,5366,5581
545.2,2630,2663,5361,5591
545.6,2632,2664,5401,5614
546,2634,2643,5417,5624
546.4,2607,2644,5440,5661
546.8,2630,2643,5455,5676
547.2,2654,2649,5479,5711
547.6,2653,2658,5500,5735
548,2646,2638,5525,5723
548.4,2665,2640,5537,5742
548.8,2686,2660,5556,5767
549.2,2685,2655,5561,5772
549.6,2689,2656,5586,5761
550,2702,2669,5583,5764
550.4,2690,2679,5598,5768
550.8,2747,2711,5620,5804
551.2,2748,2713,5618,5814
551.6,2745,2736,5616,5821
552,2778,2753,5641,5818
552.4,2796,2785,5628,5814
552.8,2836,2808,5658,5844
553.2,2873,2852,5670,5850
553.6,2878,2876,5657,5854
554,2923,2904,5663,5853
554.4,2978,2954,5697,5879
554.8,3031,3002,5716,5891
555.2,3035,3042,5694,5887
555.6,3100,3098,5726,5890
556,3134,3144,5726,5924
556.4,3214,3210,5749,5938
556.8,3246,3266,5775,5956
557.2,3310,3327,5753,5975
557.6,3376,3394,5785,5976
558,3441,3474,5812,6038
558.4,3506,3554,5817,6048
558.8,3580,3630,5849,6071
559.2,3658,3706,5889,6113
559.6,3748,3781,5907,6139
560,3831,3874,5930,6170
560.4,3899,3962,5951,6185
560.8,3998,4058,5993,6237
561.2,4065,4138,6022,6275
561.6,4165,4249,6042,6287
562,4245,4340,6082,6334
562.4,4344,4447,6122,6375
562.8,4449,4546,6150,6407
563.2,4561,4661,6212,6465
563.6,4658,4757,6252,6496
564,4772,4869,6263,6525
564.4,4883,4967,6318,6558
564.8,4977,5092,6348,6590
565.2,5100,5196,6396,6622
565.6,5181,5310,6427,6640
566,5307,5413,6449,6683
566.4,5399,5527,6479,6700
566.8,5515,5649,6517,6744
567.2,5635,5750,6558,6748
567.6,5761,5857,6609,6809
568,5832,5952,6604,6820
568.4,5946,6074,6632,6862
568.8,6048,6175,6672,6863
569.2,6136,6280,6688,6881
569.6,6237,6379,6737,6912
570,6352,6500,6800,6962
570.4,6457,6590,6809,6981
570.8,6533,6673,6845,6994
571.2,6628,6764,6849,7004
571.6,6731,6860,6896,7028
572,6820,6947,6919,7059
572.4,6913,7032,6949,7079
572.8,6990,7123,6963,7101
573.2,7084,7195,6996,7121
573.6,7157,7276,7020,7136
574,7249,7347,7053,7161
574.4,7309,7419,7080,7179
574.8,7399,7506,7126,7211
575.2,7462,7565,7148,7223
575.6,7531,7628,7178,7255
576,7598,7693,7187,7263
576.4,7676,7762,7260,7321
576.8,7727,7821,7256,7336
577.2,7785,7874,7301,7385
577.6,7860,7928,7355,7419
578,7907,7982,7386,7469
578.4,7978,8021,7452,7514
578.8,8043,8066,7488,7550
579.2,8087,8101,7536,7613
579.6,8135,8139,7582,7656
580,8177,8162,7650,7728
580.4,8227,8194,7713,7787
580.8,8244,8192,7776,7860
581.2,8300,8225,7852,7948
581.6,8341,8215,7926,8002
582,8348,8231,8007,8114
582.4,8358,8212,8084,8199
582.8,8382,8201,8167,8294
583.2,8407,8171,8273,8374
583.6,8396,8160,8350,8505
584,8404,8123,8470,8613
584.4,8406,8094,8574,8721
584.8,8390,8035,8679,8829
585.2,8406,7996,8810,8943
585.6,8384,7957,8901,9071
586,8386,7903,9032,9189
586.4,8354,7834,9136,9297
586.8,8321,7775,9242,9392
587.2,8300,7722,9369,9528
587.6,8265,7665,9485,9651
588,8243,7607,9605,9753
588.4,8192,7552,9716,9859
588.8,8183,7498,9841,9985
589.2,8135,7441,9954,10098
589.6,8075,7376,10030,10166
590,8058,7316,10128,10271
590.4,8009,7282,10232,10377
590.8,7988,7248,10363,10460
591.2,7965,7228,10460,10546
591.6,7970,7200,10555,10650
592,7931,7167,10638,10713
592.4,7939,7173,10740,10802
592.8,7922,7174,10826,10864
593.2,7921,7181,10887,10908
593.6,7926,7206,10941,10962
594,7917,7234,10996,10990
594.4,7949,7262,11033,11023
594.8,8000,7329,11088,11057
595.2,8020,7384,11138,11093
595.6,8044,7453,11164,11109
596,8117,7541,11208,11103
596.4,8207,7650,11237,11127
596.8,8275,7749,11265,11115
597.2,8362,7863,11258,11085
597.6,8463,7986,11267,11077
598,8568,8121,11274,11067
598.4,8690,8273,11270,11047
598.8,8815,8423,11242,10998
599.2,8946,8575,11219,10968
599.6,9072,8746,11171,10890
600,9230,8921,11140,10829
600.4,9387,9104,11106,10762
600.8,9549,9274,11037,10697
601.2,9717,9473,10984,10632
601.6,9901,9672,10941,10549
602,10047,9846,10862,10453
602.4,10255,10066,10797,10387
602.8,10447,10261,10716,10274
603.2,10643,10467,10639,10183
603.6,10805,10662,10548,10078
604,11000,10862,10459,9962
604.4,11189,11078,10362,9898
604.8,11403,11271,10283,9790
605.2,11579,11474,10191,9708
605.6,11783,11673,10086,9626
606,11998,11876,10027,9550
606.4,12199,12069,9945,9439
606.8,12366,12261,9852,9389
607.2,12567,12451,9760,9303
607.6,12736,12623,9676,9226
608,12952,12817,9625,9162
608.4,13122,12979,9548,9118
608.8,13292,13143,9467,9057
609.2,13473,13297,9394,8985
609.6,13611,13446,9313,8940
610,13804,13600,9263,8906
610.4,13947,13726,9207,8857
610.8,14074,13858,9158,8840
611.2,14215,13983,9126,8799
611.6,14372,14091,9092,8765
612,14494,14205,9056,8767
612.4,14591,14287,9012,8740
612.8,14697,14380,8984,8720
613.2,14812,14454,8973,8717
613.6,14923,14559,8965,8696
614,14993,14584,8942,8677
614.4,15070,14656,8934,8665
614.8,15119,14702,8898,8658
615.2,15165,14746,8906,8641
615.6,15228,14791,8911,8639
616,15267,14815,8889,8618
616.4,15321,14835,8909,8629
616.8,15350,14855,8906,8612
617.2,15377,14869,8909,8611
617.6,15386,14867,8911,8623
618,15392,14854,8920,8615
618.4,15378,14830,8922,8612
618.8,15383,14805,8944,8625
619.2,15378,14779,8944,8620
619.6,15344,14732,8971,8634
620,15331,14689,8990,8644
620.4,15280,14621,9027,8669
620.8,15265,14564,9048,8708
